 top-left-square, top-middle-square, top-right-square, middle-left-square, middle-middle-square, middle-right-square, bottom-left-square, bottom-middle-square, bottom-right-square, Class,,
b,o,x,b,x,o,x,b,b,TRUE,,
b,o,x,b,x,b,x,o,b,TRUE,,
b,o,x,b,x,b,x,b,o,TRUE,,
b,o,x,b,o,x,o,x,x,TRUE,,
b,o,x,b,o,x,b,b,x,TRUE,,
b,o,x,b,o,o,x,x,x,TRUE,,
b,o,x,b,b,x,o,b,x,TRUE,,
b,o,x,b,b,x,b,o,x,TRUE,,
b,o,o,x,x,x,x,o,b,TRUE,,
b,o,o,x,x,x,x,b,o,TRUE,,
b,o,o,x,x,x,o,x,b,TRUE,,
b,o,o,x,x,x,o,b,x,TRUE,,
b,o,o,x,x,x,b,x,o,TRUE,,
b,o,o,x,x,x,b,o,x,TRUE,,
b,o,o,x,x,x,b,b,b,TRUE,,
b,o,o,x,o,b,x,x,x,TRUE,,
b,o,o,x,b,o,x,x,x,TRUE,,
b,o,o,o,x,b,x,x,x,TRUE,,
b,o,o,o,b,x,x,x,x,TRUE,,
b,o,o,b,x,o,x,x,x,TRUE,,
b,o,o,b,o,x,x,x,x,TRUE,,
b,o,o,b,b,b,x,x,x,TRUE,,
b,o,b,x,x,x,x,o,o,TRUE,,
b,o,b,x,x,x,o,x,o,TRUE,,
b,o,b,x,x,x,o,o,x,TRUE,,
b,o,b,x,x,x,o,b,b,TRUE,,
b,o,b,x,x,x,b,o,b,TRUE,,
b,o,b,x,x,x,b,b,o,TRUE,,
b,o,b,x,o,o,x,x,x,TRUE,,
b,o,b,o,x,o,x,x,x,TRUE,,
b,o,b,o,o,x,x,x,x,TRUE,,
b,o,b,o,b,b,x,x,x,TRUE,,
b,o,b,b,o,b,x,x,x,TRUE,,
b,o,b,b,b,o,x,x,x,TRUE,,
b,b,x,x,x,o,x,o,o,TRUE,,
b,b,x,x,o,x,o,o,x,TRUE,,
b,b,x,o,x,x,x,o,o,TRUE,,
b,b,x,o,x,x,o,o,x,TRUE,,
b,b,x,o,x,o,x,x,o,TRUE,,
b,b,x,o,x,o,x,o,x,TRUE,,
b,b,x,o,x,o,x,b,b,TRUE,,
b,b,x,o,x,b,x,o,b,TRUE,,
b,b,x,o,x,b,x,b,o,TRUE,,
b,b,x,o,o,x,x,o,x,TRUE,,
b,b,x,o,o,x,o,x,x,TRUE,,
b,b,x,o,o,x,b,b,x,TRUE,,
b,b,x,o,b,x,o,b,x,TRUE,,
b,b,x,o,b,x,b,o,x,TRUE,,
b,b,x,b,x,o,x,o,b,TRUE,,
b,b,x,b,x,o,x,b,o,TRUE,,
b,b,x,b,x,b,x,o,o,TRUE,,
b,b,x,b,o,x,o,b,x,TRUE,,
b,b,x,b,o,x,b,o,x,TRUE,,
b,b,x,b,b,x,o,o,x,TRUE,,
b,b,o,x,x,x,x,o,o,TRUE,,
b,b,o,x,x,x,o,x,o,TRUE,,
b,b,o,x,x,x,o,o,x,TRUE,,
b,b,o,x,x,x,o,b,b,TRUE,,
b,b,o,x,x,x,b,o,b,TRUE,,
b,b,o,x,x,x,b,b,o,TRUE,,
b,b,o,x,o,o,x,x,x,TRUE,,
b,b,o,o,x,o,x,x,x,TRUE,,
b,b,o,o,o,x,x,x,x,TRUE,,
b,b,o,o,b,b,x,x,x,TRUE,,
b,b,o,b,o,b,x,x,x,TRUE,,
b,b,o,b,b,o,x,x,x,TRUE,,
b,b,b,x,x,x,o,o,b,TRUE,,
b,b,b,x,x,x,o,b,o,TRUE,,
b,b,b,x,x,x,b,o,o,TRUE,,
b,b,b,o,o,b,x,x,x,TRUE,,
b,b,b,o,b,o,x,x,x,TRUE,,
b,b,b,b,o,o,x,x,x,TRUE,,
x,x,o,x,x,o,o,b,o,FALSE,,
x,x,o,x,x,o,b,o,o,FALSE,,
x,x,o,x,x,b,o,o,o,FALSE,,
x,x,o,x,o,x,o,o,b,FALSE,,
x,x,o,x,o,x,o,b,o,FALSE,,
x,x,o,x,o,o,o,x,b,FALSE,,
x,x,o,x,o,o,o,b,x,FALSE,,
x,x,o,x,o,o,b,x,o,FALSE,,
x,x,o,x,o,b,o,x,o,FALSE,,
x,x,o,x,o,b,o,o,x,FALSE,,
x,x,o,x,o,b,o,b,b,FALSE,,
x,x,o,x,b,x,o,o,o,FALSE,,
x,x,o,x,b,o,o,x,o,FALSE,,
x,x,o,x,b,o,b,b,o,FALSE,,
x,x,o,o,x,o,x,b,o,FALSE,,
x,x,o,o,o,x,o,x,b,FALSE,,
x,x,o,o,o,x,o,b,x,FALSE,,
x,x,o,o,o,o,x,x,b,FALSE,,
x,x,o,o,o,o,x,b,x,FALSE,,
x,x,o,o,o,o,b,x,x,FALSE,,
x,x,o,o,o,b,o,x,x,FALSE,,
x,x,o,o,b,o,x,x,o,FALSE,,
x,x,o,b,x,x,o,o,o,FALSE,,
x,x,o,b,x,o,x,o,o,FALSE,,
x,x,o,b,x,o,b,b,o,FALSE,,
x,x,o,b,o,x,o,x,o,FALSE,,
x,x,o,b,o,x,o,o,x,FALSE,,
x,x,o,b,o,x,o,b,b,FALSE,,
x,x,o,b,o,o,x,x,o,FALSE,,
x,x,o,b,o,o,o,x,x,FALSE,,
x,x,o,b,o,b,o,x,b,FALSE,,
x,x,o,b,o,b,o,b,x,FALSE,,
x,x,o,b,b,o,x,b,o,FALSE,,
x,x,o,b,b,o,b,x,o,FALSE,,
x,x,b,x,x,o,o,o,o,FALSE,,
x,x,b,x,o,x,o,o,o,FALSE,,
x,x,b,x,b,b,o,o,o,FALSE,,
x,x,b,o,x,x,o,o,o,FALSE,,
x,x,b,o,o,o,x,x,o,FALSE,,
x,x,b,o,o,o,x,o,x,FALSE,,
x,x,b,o,o,o,x,b,b,FALSE,,
x,x,b,o,o,o,o,x,x,FALSE,,
x,x,b,o,o,o,b,x,b,FALSE,,
x,x,b,o,o,o,b,b,x,FALSE,,
x,x,b,b,x,b,o,o,o,FALSE,,
x,x,b,b,b,x,o,o,o,FALSE,,
x,o,x,x,x,b,o,o,o,FALSE,,
x,o,x,x,o,x,o,o,b,FALSE,,
x,o,x,x,o,x,b,o,o,FALSE,,
x,o,x,x,o,o,b,o,x,FALSE,,
x,o,x,x,o,b,o,o,x,FALSE,,
x,o,x,x,o,b,b,o,b,FALSE,,
x,o,x,x,b,x,o,o,o,FALSE,,
x,o,x,o,o,x,x,o,b,FALSE,,
x,o,x,o,o,o,x,x,b,FALSE,,
x,o,x,o,o,o,x,b,x,FALSE,,
x,o,x,o,o,o,b,x,x,FALSE,,
x,o,x,o,o,b,x,o,x,FALSE,,
x,o,x,b,x,x,o,o,o,FALSE,,
x,o,x,b,o,x,x,o,o,FALSE,,
x,o,x,b,o,x,b,o,b,FALSE,,
x,o,x,b,o,o,x,o,x,FALSE,,
x,o,x,b,o,b,x,o,b,FALSE,,
x,o,x,b,o,b,b,o,x,FALSE,,
x,o,o,x,x,o,b,x,o,FALSE,,
x,o,o,x,o,x,o,x,b,FALSE,,
x,o,o,x,o,x,o,b,x,FALSE,,
x,o,o,x,o,x,b,o,x,FALSE,,
x,o,o,x,o,b,o,x,x,FALSE,,
x,o,o,b,x,o,x,x,o,FALSE,,
x,o,o,b,o,x,x,o,x,FALSE,,
x,o,o,b,o,x,o,x,x,FALSE,,
x,o,b,x,o,x,o,o,x,FALSE,,
x,o,b,x,o,x,b,o,b,FALSE,,
x,o,b,x,o,b,b,o,x,FALSE,,
x,o,b,o,o,x,x,o,x,FALSE,,
x,o,b,b,o,x,x,o,b,FALSE,,
x,o,b,b,o,x,b,o,x,FALSE,,
x,o,b,b,o,b,x,o,x,FALSE,,
x,b,x,x,x,o,o,o,o,FALSE,,
x,b,x,x,o,x,o,o,o,FALSE,,
x,b,x,x,b,b,o,o,o,FALSE,,
x,b,x,o,x,x,o,o,o,FALSE,,
x,b,x,o,o,o,x,x,o,FALSE,,
x,b,x,o,o,o,x,o,x,FALSE,,
x,b,x,o,o,o,x,b,b,FALSE,,
x,b,x,o,o,o,o,x,x,FALSE,,
x,b,x,o,o,o,b,x,b,FALSE,,
x,b,x,o,o,o,b,b,x,FALSE,,
x,b,x,b,x,b,o,o,o,FALSE,,
x,b,x,b,b,x,o,o,o,FALSE,,
x,b,o,x,x,o,o,x,o,FALSE,,
x,b,o,x,x,o,b,b,o,FALSE,,
x,b,o,x,o,x,o,x,o,FALSE,,
x,b,o,x,o,x,o,o,x,FALSE,,
x,b,o,x,o,x,o,b,b,FALSE,,
x,b,o,x,o,o,o,x,x,FALSE,,
x,b,o,x,o,b,o,x,b,FALSE,,
x,b,o,x,o,b,o,b,x,FALSE,,
x,b,o,x,b,o,b,x,o,FALSE,,
x,b,o,o,x,o,x,x,o,FALSE,,
x,b,o,o,o,x,o,x,x,FALSE,,
x,b,o,b,x,o,x,b,o,FALSE,,
x,b,o,b,x,o,b,x,o,FALSE,,
x,b,o,b,o,x,o,x,b,FALSE,,
x,b,o,b,o,x,o,b,x,FALSE,,
x,b,o,b,o,b,o,x,x,FALSE,,
x,b,o,b,b,o,x,x,o,FALSE,,
x,b,b,x,x,b,o,o,o,FALSE,,
x,b,b,x,b,x,o,o,o,FALSE,,
x,b,b,o,o,o,x,x,b,FALSE,,
x,b,b,o,o,o,x,b,x,FALSE,,
x,b,b,o,o,o,b,x,x,FALSE,,
x,b,b,b,x,x,o,o,o,FALSE,,
o,x,x,x,x,b,o,o,o,FALSE,,
o,x,x,x,o,x,o,b,o,FALSE,,
o,x,x,x,o,x,b,o,o,FALSE,,
o,x,x,x,o,o,x,b,o,FALSE,,
o,x,x,x,o,o,b,x,o,FALSE,,
o,x,x,x,o,b,x,o,o,FALSE,,
o,x,x,x,o,b,o,x,o,FALSE,,
o,x,x,x,o,b,b,b,o,FALSE,,
o,x,x,x,b,x,o,o,o,FALSE,,
o,x,x,o,x,x,o,o,b,FALSE,,
o,x,x,o,x,x,o,b,o,FALSE,,
o,x,x,o,x,o,o,b,x,FALSE,,
o,x,x,o,x,b,o,o,x,FALSE,,
o,x,x,o,x,b,o,b,b,FALSE,,
o,x,x,o,o,x,x,b,o,FALSE,,
o,x,x,o,o,x,o,x,b,FALSE,,
o,x,x,o,o,x,b,x,o,FALSE,,
o,x,x,o,o,o,x,x,b,FALSE,,
o,x,x,o,o,o,x,b,x,FALSE,,
o,x,x,o,o,o,b,x,x,FALSE,,
o,x,x,o,o,b,x,x,o,FALSE,,
o,x,x,o,o,b,o,x,x,FALSE,,
o,x,x,o,b,x,o,x,o,FALSE,,
o,x,x,o,b,x,o,b,b,FALSE,,
o,x,x,o,b,o,o,x,x,FALSE,,
o,x,x,o,b,b,o,x,b,FALSE,,
o,x,x,o,b,b,o,b,x,FALSE,,
o,x,x,b,x,x,o,o,o,FALSE,,
o,x,x,b,o,x,x,o,o,FALSE,,
o,x,x,b,o,x,o,x,o,FALSE,,
o,x,x,b,o,x,b,b,o,FALSE,,
o,x,x,b,o,o,x,x,o,FALSE,,
o,x,x,b,o,b,x,b,o,FALSE,,
o,x,x,b,o,b,b,x,o,FALSE,,
o,x,o,x,x,o,x,b,o,FALSE,,
o,x,o,x,o,x,x,b,o,FALSE,,
o,x,o,x,o,x,o,x,b,FALSE,,
o,x,o,x,o,x,o,b,x,FALSE,,
o,x,o,x,o,x,b,x,o,FALSE,,
o,x,o,x,o,b,x,x,o,FALSE,,
o,x,o,x,o,b,o,x,x,FALSE,,
o,x,o,x,b,o,x,x,o,FALSE,,
o,x,o,o,x,x,o,b,x,FALSE,,
o,x,o,o,b,x,o,x,x,FALSE,,
o,x,o,b,o,x,x,x,o,FALSE,,
o,x,o,b,o,x,o,x,x,FALSE,,
o,x,b,x,o,x,x,o,o,FALSE,,
o,x,b,x,o,x,o,x,o,FALSE,,
o,x,b,x,o,x,b,b,o,FALSE,,
o,x,b,x,o,o,x,x,o,FALSE,,
o,x,b,x,o,b,x,b,o,FALSE,,
o,x,b,x,o,b,b,x,o,FALSE,,
o,x,b,o,x,x,o,o,x,FALSE,,
o,x,b,o,x,x,o,b,b,FALSE,,
o,x,b,o,x,b,o,b,x,FALSE,,
o,x,b,o,o,x,x,x,o,FALSE,,
o,x,b,o,o,x,o,x,x,FALSE,,
o,x,b,o,b,x,o,x,b,FALSE,,
o,x,b,o,b,x,o,b,x,FALSE,,
o,x,b,o,b,b,o,x,x,FALSE,,
o,x,b,b,o,x,x,b,o,FALSE,,
o,x,b,b,o,x,b,x,o,FALSE,,
o,x,b,b,o,b,x,x,o,FALSE,,
o,o,x,x,o,x,x,o,b,FALSE,,
o,o,x,x,o,x,x,b,o,FALSE,,
o,o,x,x,o,x,b,x,o,FALSE,,
o,o,x,x,o,b,x,x,o,FALSE,,
o,o,x,x,o,b,x,o,x,FALSE,,
o,o,x,o,x,x,o,x,b,FALSE,,
o,o,x,o,x,b,o,x,x,FALSE,,
o,o,x,b,o,x,x,x,o,FALSE,,
o,o,o,x,x,o,x,x,b,FALSE,,
o,o,o,x,x,o,x,b,x,FALSE,,
o,o,o,x,x,o,b,x,x,FALSE,,
o,o,o,x,x,b,x,x,o,FALSE,,
o,o,o,x,x,b,x,o,x,FALSE,,
o,o,o,x,x,b,x,b,b,FALSE,,
o,o,o,x,x,b,o,x,x,FALSE,,
o,o,o,x,x,b,b,x,b,FALSE,,
o,o,o,x,x,b,b,b,x,FALSE,,
o,o,o,x,o,x,x,x,b,FALSE,,
o,o,o,x,o,x,x,b,x,FALSE,,
o,o,o,x,o,x,b,x,x,FALSE,,
o,o,o,x,b,x,x,x,o,FALSE,,
o,o,o,x,b,x,x,o,x,FALSE,,
o,o,o,x,b,x,x,b,b,FALSE,,
o,o,o,x,b,x,o,x,x,FALSE,,
o,o,o,x,b,x,b,x,b,FALSE,,
o,o,o,x,b,x,b,b,x,FALSE,,
o,o,o,x,b,b,x,x,b,FALSE,,
o,o,o,x,b,b,x,b,x,FALSE,,
o,o,o,x,b,b,b,x,x,FALSE,,
o,o,o,o,x,x,x,x,b,FALSE,,
o,o,o,o,x,x,x,b,x,FALSE,,
o,o,o,o,x,x,b,x,x,FALSE,,
o,o,o,b,x,x,x,x,o,FALSE,,
o,o,o,b,x,x,x,o,x,FALSE,,
o,o,o,b,x,x,x,b,b,FALSE,,
o,o,o,b,x,x,o,x,x,FALSE,,
o,o,o,b,x,x,b,x,b,FALSE,,
o,o,o,b,x,x,b,b,x,FALSE,,
o,o,o,b,x,b,x,x,b,FALSE,,
o,o,o,b,x,b,x,b,x,FALSE,,
o,o,o,b,x,b,b,x,x,FALSE,,
o,o,o,b,b,x,x,x,b,FALSE,,
o,o,o,b,b,x,x,b,x,FALSE,,
o,o,o,b,b,x,b,x,x,FALSE,,
o,o,b,x,o,x,x,x,o,FALSE,,
o,o,b,x,o,x,x,o,x,FALSE,,
o,o,b,o,x,x,o,x,x,FALSE,,
o,b,x,x,o,x,x,o,o,FALSE,,
o,b,x,x,o,x,o,x,o,FALSE,,
o,b,x,x,o,x,b,b,o,FALSE,,
o,b,x,x,o,o,x,x,o,FALSE,,
o,b,x,x,o,b,x,b,o,FALSE,,
o,b,x,x,o,b,b,x,o,FALSE,,
o,b,x,o,x,x,o,x,o,FALSE,,
o,b,x,o,x,x,o,b,b,FALSE,,
o,b,x,o,x,o,o,x,x,FALSE,,
o,b,x,o,x,b,o,x,b,FALSE,,
o,b,x,o,x,b,o,b,x,FALSE,,
o,b,x,o,o,x,x,x,o,FALSE,,
o,b,x,o,b,x,o,x,b,FALSE,,
o,b,x,o,b,b,o,x,x,FALSE,,
o,b,x,b,o,x,x,b,o,FALSE,,
o,b,x,b,o,x,b,x,o,FALSE,,
o,b,x,b,o,b,x,x,o,FALSE,,
o,b,o,x,x,o,x,x,o,FALSE,,
o,b,o,x,o,x,x,x,o,FALSE,,
o,b,o,x,o,x,o,x,x,FALSE,,
o,b,o,o,x,x,o,x,x,FALSE,,
o,b,b,x,o,x,x,b,o,FALSE,,
o,b,b,x,o,x,b,x,o,FALSE,,
o,b,b,x,o,b,x,x,o,FALSE,,
o,b,b,o,x,x,o,x,b,FALSE,,
o,b,b,o,x,x,o,b,x,FALSE,,
o,b,b,o,x,b,o,x,x,FALSE,,
o,b,b,o,b,x,o,x,x,FALSE,,
o,b,b,b,o,x,x,x,o,FALSE,,
b,x,x,x,x,o,o,o,o,FALSE,,
b,x,x,x,o,x,o,o,o,FALSE,,
b,x,x,x,b,b,o,o,o,FALSE,,
b,x,x,o,x,x,o,o,o,FALSE,,
b,x,x,o,o,o,x,x,o,FALSE,,
b,x,x,o,o,o,x,o,x,FALSE,,
b,x,x,o,o,o,x,b,b,FALSE,,
b,x,x,o,o,o,o,x,x,FALSE,,
b,x,x,o,o,o,b,x,b,FALSE,,
b,x,x,o,o,o,b,b,x,FALSE,,
b,x,x,b,x,b,o,o,o,FALSE,,
b,x,x,b,b,x,o,o,o,FALSE,,
b,x,o,x,x,o,x,o,o,FALSE,,
b,x,o,x,x,o,b,b,o,FALSE,,
b,x,o,x,o,x,o,x,o,FALSE,,
b,x,o,x,o,x,o,o,x,FALSE,,
b,x,o,x,o,x,o,b,b,FALSE,,
b,x,o,x,o,o,x,x,o,FALSE,,
b,x,o,x,o,o,o,x,x,FALSE,,
b,x,o,x,o,b,o,x,b,FALSE,,
b,x,o,x,o,b,o,b,x,FALSE,,
b,x,o,x,b,o,x,b,o,FALSE,,
b,x,o,x,b,o,b,x,o,FALSE,,
b,x,o,o,o,x,o,x,x,FALSE,,
b,x,o,b,x,o,x,b,o,FALSE,,
b,x,o,b,o,x,o,x,b,FALSE,,
b,x,o,b,o,x,o,b,x,FALSE,,
b,x,o,b,o,b,o,x,x,FALSE,,
b,x,o,b,b,o,x,x,o,FALSE,,
b,x,b,x,x,b,o,o,o,FALSE,,
b,x,b,x,b,x,o,o,o,FALSE,,
b,x,b,o,o,o,x,x,b,FALSE,,
b,x,b,o,o,o,x,b,x,FALSE,,
b,x,b,o,o,o,b,x,x,FALSE,,
b,x,b,b,x,x,o,o,o,FALSE,,
b,o,x,x,o,x,x,o,o,FALSE,,
b,o,x,x,o,x,b,o,b,FALSE,,
b,o,x,x,o,o,x,o,x,FALSE,,
b,o,x,x,o,b,x,o,b,FALSE,,
b,o,x,x,o,b,b,o,x,FALSE,,
b,o,x,b,o,x,x,o,b,FALSE,,
b,o,x,b,o,b,x,o,x,FALSE,,
b,o,o,x,x,o,x,x,o,FALSE,,
b,o,o,x,o,x,x,o,x,FALSE,,
b,o,o,x,o,x,o,x,x,FALSE,,
b,o,b,x,o,x,x,o,b,FALSE,,
b,o,b,x,o,x,b,o,x,FALSE,,
b,o,b,x,o,b,x,o,x,FALSE,,
b,o,b,b,o,x,x,o,x,FALSE,,
b,b,x,x,x,b,o,o,o,FALSE,,
b,b,x,x,b,x,o,o,o,FALSE,,
b,b,x,o,o,o,x,x,b,FALSE,,
b,b,x,o,o,o,x,b,x,FALSE,,
b,b,x,o,o,o,b,x,x,FALSE,,
b,b,x,b,x,x,o,o,o,FALSE,,
b,b,o,x,x,o,x,b,o,FALSE,,
b,b,o,x,x,o,b,x,o,FALSE,,
b,b,o,x,o,x,o,x,b,FALSE,,
b,b,o,x,o,x,o,b,x,FALSE,,
b,b,o,x,o,b,o,x,x,FALSE,,
b,b,o,x,b,o,x,x,o,FALSE,,
b,b,o,b,x,o,x,x,o,FALSE,,
b,b,o,b,o,x,o,x,x,FALSE,,
x,x,o,o,x,x,x,o,o,FALSE,,
x,x,o,o,o,x,x,x,o,FALSE,,
x,x,o,o,o,x,x,o,x,FALSE,,
x,o,x,x,x,o,o,x,o,FALSE,,
x,o,x,x,o,x,o,x,o,FALSE,,
x,o,x,x,o,o,o,x,x,FALSE,,
x,o,x,o,x,x,o,x,o,FALSE,,
x,o,x,o,o,x,x,x,o,FALSE,,
x,o,o,o,x,x,x,x,o,FALSE,,
o,x,x,x,x,o,o,o,x,FALSE,,
o,x,x,x,o,o,x,o,x,FALSE,,
o,x,x,x,o,o,o,x,x,FALSE,,
o,x,o,x,x,o,x,o,x,FALSE,,
o,x,o,x,o,x,x,o,x,FALSE,,
o,x,o,o,x,x,x,o,x,FALSE,,
o,o,x,x,x,o,o,x,x,FALSE,,
